impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,Memo,Temperament
K21-142594,A654556,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2365601,LOST,Simon,,Under 1 year<p/>,Male,,Unknown,12/13/2021 12:00:00 AM,Date Lost,34TH  AVE S. & 136TH AVE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2365601,Image Copyright HLP Inc. 2022,"Description: Blue Indian RingNeck Parrot. Orange beak, small and fast<p/>Age: Under 1 year<p/>Location Lost: 34th Ave S. & 136th Ave , Seattle WA  98168<p/>Lost Date: 2021-12-13<p/>",
K22-143343,A656261,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2382916,In Public Home,Jennifer Lun,Dog,Over 1 year<p/>,Male,Golden Retriever,Unknown,01/17/2022 12:00:00 AM,Date Found,2000 block of  23RD AVENUE EAST,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2382916,Image Copyright HLP Inc. 2022,Description: Very friendly olderish male golden retriever Found at Medina Park.  Loves swimming and tennis balls.  Super sweet boy and a kind family must be missing him!<p/>Age: Over 1 year<p/>Found Near: 2000 block of  23RD AVENUE EAST<p/>Found Date: 2022-01-17<p/>,
K22-143097,A655645,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2377522,LOST,Sadie,Cat,Over 1 year<p/>,Female,American Shorthair,Unknown,01/04/2022 12:00:00 AM,Date Lost,153RD  AVE SE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2377522,Image Copyright HLP Inc. 2022,"Description: Gray and white tuxedo with a half tail. Very sketchy. Originally a barn cat. <p/>Age: Over 1 year<p/>Location Lost: 153rd Ave SE, Renton WA  98058<p/>Lost Date: 2022-01-04<p/>",
K22-143100,A655654,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A655654,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Skookum,Cat,2 YEARS,Neutered Male,Domestic Shorthair,Org Tabby,01/06/2022 12:00:00 AM,Received on,1400 block of  168TH PL NE,BELLEVUE,WA,98008,BELLEVUE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A655654,Image Copyright HLP Inc. 2022,"Received on: 2022-01-06<p/> Found Near: 1400 block of  168TH PL NE<p/> Description: Org Tabby Neutered Male Domestic Shorthair Cat<p/> Age: 2 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",GREEN
K21-142860,A655109,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2371587,LOST,Riddick,Dog,Over 1 year<p/>,Male,Catahoula Leopard Hound,Brown,12/25/2021 12:00:00 AM,Date Lost,"4500 block of  176TH STREET EAST,",,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2371587,Image Copyright HLP Inc. 2022,"<p/>Age: Over 1 year<p/>Location Lost: 4519 176th Street East, M-2, Tacoma WA  98446<p/>Lost Date: 2021-12-25<p/>",
K21-142628,A654634,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2366232,In Public Home,,Dog,Under 1 year<p/>,Male,Border Collie,Unknown,12/14/2021 12:00:00 AM,Date Found,164TH  STREET,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2366232,Image Copyright HLP Inc. 2022,"Description: Male puppy, seems to be 8mo old. Brown eyes, white fur with black spots.<p/>Age: Under 1 year<p/>Found Near: 164th street, Lynnwood WA  98087<p/>Found Date: 2021-12-14<p/>",
K21-142876,A655165,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2372258,LOST,Snoopy,Dog,Under 1 year<p/>,Male,Chihuahua - Smooth Coated,White,12/25/2021 12:00:00 AM,Date Lost,42ND  AVE SW AND ALASKA ST,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2372258,Image Copyright HLP Inc. 2022,"Description: Snoopy is about 5 pounds he is white with tan spots<p/>Age: Under 1 year<p/>Location Lost: 42nd ave sw and Alaska st, Seattle WA  98116<p/>Lost Date: 2021-12-25<p/>",
K22-143234,A655328,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A655328,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Coda,Dog,9 MONTHS,Neutered Male,Pit Bull,Red / White,01/13/2022 12:00:00 AM,Received on,21615 64TH AVE S,KENT,WA,98032,KENT,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A655328,Image Copyright HLP Inc. 2022,"Received on: 2022-01-13<p/> Description: Red / White<p/>  Neutered Male Pit Bull Dog<p/> Age: 9 MONTHS<p/> Adoption Fee: $100.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Coda and I am available for adoption.<p/><p/>I was brought in by my previous owner on December 31, 2021 because they could no longer care for me. Also I was recently adopted and brought back because I'm still learning how to be house-trained. I lived in a home with men, women, children and other cats and dogs.<p/><p/>I am full of energy and I love to play! I tend to calm down more when the people around me stay calm. I do best when I have lots of exercise and something to keep my mind busy.<p/><p/>My caregivers have noticed that I seem to do well with other dogs. When meeting dogs in a new home, I would do best with a slow introduction.<p/><p/>I don't really care for toys, but I am treat motivated and do love people :)<p/><p/>My personality color is RED. I am a spirited dog with a fun-loving personality! I am still working on my manners, so I would do best with a family who is willing to work with me and help me become the best dog I can be!<p/>",RED
K21-142713,A654830,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2368463,LOST,Taro,Cat,Over 1 year<p/>,Male,Domestic Mediumhair,Unknown,12/14/2021 12:00:00 AM,Date Lost,19000 block of  12TH PL NW,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2368463,Image Copyright HLP Inc. 2022,"Description: Black/White - Black spot on left side of nose + cheek area. Medium Coat. 1.5 years. 13ish pounds. Very friendly + food motivated.<p/>Age: Over 1 year<p/>Location Lost: 19015 12TH PL NW, Seattle WA  98177<p/>Lost Date: 2021-12-14<p/>",
K21-142496,A654383,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2363818,LOST,Lucy,Dog,Under 1 year<p/>,Female,Chihuahua - Long Haired,Brown,12/09/2021 12:00:00 AM,Date Lost,3100 block of  S 144TH ST,SEATAC,WA,98168,SEATAC,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2363818,Image Copyright HLP Inc. 2022,"Description: she’s a chihuahua and pomeranian mix <p/>Age: Under 1 year<p/>Location Lost: 3123 s 144th st seatac wa, Seattle WA  98168<p/>Lost Date: 2021-12-09<p/>",
